30-Oct-2020 10:41:07 AM
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,warhw2020.TwiceInARow*,6223 (34%),2750,480,2530,396,54,14,8,0,1
2nd,warhw2020.GuillaumeBot2*,2561 (14%),1050,0,1367,141,2,0,0,0,4
3rd,warhw2020.Thunder2020 2.0,2525 (14%),1750,60,674,39,2,0,1,3,2
4th,warhw2020.YouOnlyLiveOnce*,1839 (10%),1300,0,426,16,97,0,0,1,2
5th,warhw2020.SirSmashAlot*,1742 (10%),1500,0,193,7,42,0,0,3,1
6th,warhw2020.Rwbrother*,1729 (10%),1350,60,278,22,19,0,1,2,0
7th,warhw2020.PointyHairedBoss*,1573 (9%),800,0,712,40,22,0,0,1,0
$
